"module","naive_beta","naive_SE","naive_df","naive_CI_low","naive_CI_high","naive_P","donoraware_beta","donoraware_SE","donoraware_df","donoraware_CI_low","donoraware_CI_high","donoraware_P","cluster_robust_beta","cluster_robust_SE","cluster_robust_df","cluster_robust_P","sample_n","donor_n","random_intercept_variance","residual_variance","singular_fit","naive_formula","donoraware_formula","cluster_robust_formula","mapping","cluster_robust_CI_low","cluster_robust_CI_high","naive_BH_FDR","donoraware_BH_FDR","cluster_robust_BH_FDR","beta_difference_donoraware_minus_naive","SE_ratio_donoraware_over_naive","significance_transition"
"WGCNA_brown",-0.192290080670759,0.148216234228525,Inf,-0.48278856168282,0.098208400341302,0.195722060641966,-0.285454235060305,0.211692634660863,73.8570089205349,-0.707274586791977,0.136366116671368,0.18163843923937,-0.192290080670759,0.20965126474635,47.4336807439696,0.363683061468285,253,84,0.458116947193948,0.51697380312531,FALSE,"score_z ~ diagnosis + region + age_z + sex","score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)","same fixed-effects OLS with donor-clustered CR2 SE","strict one-to-one official symbol; highest-IQR probe",-0.613952255826413,0.229372094484896,0.427029950491563,0.484369171304985,0.694837922591629,-0.0931641543895461,1.42826887866054,"not_FDR<0.05 to not_FDR<0.05"
"WGCNA_yellow",-0.376083380736116,0.139567482225725,Inf,-0.64963061931147,-0.102536142160762,0.00753216332039307,-0.475376427284004,0.189477071374994,68.3832242149556,-0.853433673903568,-0.0973191806644393,0.0144861993657929,-0.376083380736116,0.201382915695214,47.4336807439696,0.0680169270214718,253,84,0.32451083359609,0.525539151985308,FALSE,"score_z ~ diagnosis + region + age_z + sex","score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)","same fixed-effects OLS with donor-clustered CR2 SE","strict one-to-one official symbol; highest-IQR probe",-0.781115796705407,0.0289490352331747,0.0451929799223584,0.105564023634767,0.408101562128831,-0.0992930465478877,1.35760184502397,"FDR<0.05 to not_FDR<0.05"
"WGCNA_blue",-0.191076171749182,0.136515968520565,Inf,-0.458642553364094,0.0764902098657285,0.162874421378828,-0.277615138668159,0.192901151310483,78.00383057633,-0.661651533274899,0.106421255938581,0.154106762044117,-0.191076171749182,0.187872320718428,47.4336807439696,0.314287799303374,253,84,0.380759281502977,0.428329310777521,FALSE,"score_z ~ diagnosis + region + age_z + sex","score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)","same fixed-effects OLS with donor-clustered CR2 SE","strict one-to-one official symbol; highest-IQR probe",-0.568935334685867,0.186782991187502,0.390898611309188,0.462320286132351,0.694837922591629,-0.0865389669189764,1.41302994368329,"not_FDR<0.05 to not_FDR<0.05"
"WGCNA_pink",0.00349250077164015,0.151359550446326,Inf,-0.293166766819333,0.300151768362613,0.981609789722059,-0.00885555512673853,0.165461484683714,70.6167250752477,-0.338807418933524,0.321096308680047,0.957468445693146,0.00349250077164015,0.15271355142075,47.4336807439696,0.981850212090298,253,84,0.0842324451835235,0.871931838194133,FALSE,"score_z ~ diagnosis + region + age_z + sex","score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)","same fixed-effects OLS with donor-clustered CR2 SE","strict one-to-one official symbol; highest-IQR probe",-0.303653408153477,0.310638409696758,0.981609789722059,0.957468445693146,0.981850212090298,-0.0123480558983787,1.09316844689221,"not_FDR<0.05 to not_FDR<0.05"
"WGCNA_black",0.183847925841046,0.130912375382588,Inf,-0.0727356150394135,0.440431466721506,0.161473378860725,0.189808596344003,0.17627961160394,81.0676010918298,-0.160928102261062,0.540545294949068,0.284787037296778,0.183847925841046,0.182387554289896,47.4336807439696,0.318565704422234,253,84,0.289364735935709,0.432319049354759,FALSE,"score_z ~ diagnosis + region + age_z + sex","score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)","same fixed-effects OLS with donor-clustered CR2 SE","strict one-to-one official symbol; highest-IQR probe",-0.18297997265145,0.550675824333542,0.390898611309188,0.569574074593556,0.694837922591629,0.00596067050295682,1.34654658193137,"not_FDR<0.05 to not_FDR<0.05"
"WGCNA_green",-0.476247814018409,0.142239738854382,Inf,-0.755032579343381,-0.197463048693438,0.000940914369024422,-0.564116713783556,0.187929052380717,77.1114719608762,-0.938322632500269,-0.189910795066844,0.0036160028003922,-0.476247814018409,0.184758121102303,47.4336807439696,0.0131119434939937,253,84,0.303900150798721,0.558185186625616,FALSE,"score_z ~ diagnosis + region + age_z + sex","score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)","same fixed-effects OLS with donor-clustered CR2 SE","strict one-to-one official symbol; highest-IQR probe",-0.847843527099007,-0.104652100937812,0.0155588991217334,0.0543483535329741,0.157343321927924,-0.0878688997651469,1.32121342385977,"FDR<0.05 to not_FDR<0.05"
"WGCNA_purple",0.13206199393764,0.120185315010742,Inf,-0.103496894954015,0.367620882829295,0.272920954125609,0.16514581500278,0.13808454511001,58.5928655608219,-0.111200898455145,0.441492528460704,0.236523452568579,0.13206199393764,0.142356629499043,47.4336807439696,0.358268031289196,253,84,0.0871173417051937,0.52092441740142,FALSE,"score_z ~ diagnosis + region + age_z + sex","score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)","same fixed-effects OLS with donor-clustered CR2 SE","strict one-to-one official symbol; highest-IQR probe",-0.154253502966316,0.418377490841595,0.467864492786759,0.516051169240537,0.694837922591629,0.0330838210651401,1.14893025905593,"not_FDR<0.05 to not_FDR<0.05"
"WGCNA_magenta",0.0370434460680922,0.131083095692281,Inf,-0.219874700470796,0.29396159260698,0.777724833940854,0.0529797279818524,0.151487097912948,77.7680178094451,-0.24862208771996,0.354581543683665,0.72748595475379,0.0370434460680922,0.155699211811049,47.4336807439696,0.812970429999325,253,84,0.111495989170583,0.607142360648978,FALSE,"score_z ~ diagnosis + region + age_z + sex","score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)","same fixed-effects OLS with donor-clustered CR2 SE","strict one-to-one official symbol; highest-IQR probe",-0.276107387539797,0.350194279675982,0.88882838164669,0.872983145704548,0.929109062856372,0.0159362819137602,1.15565700606099,"not_FDR<0.05 to not_FDR<0.05"
"WGCNA_greenyellow",-0.268671939558453,0.124717756184116,Inf,-0.513114249911968,-0.0242296292049369,0.0321928526378089,-0.262733400900246,0.15409588266779,87.248846925701,-0.569003336789666,0.043536534989175,0.0917528718188867,-0.268671939558453,0.154338989960829,47.4336807439696,0.0882039895500067,253,84,0.166477043581598,0.479999151972625,FALSE,"score_z ~ diagnosis + region + age_z + sex","score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)","same fixed-effects OLS with donor-clustered CR2 SE","strict one-to-one official symbol; highest-IQR probe",-0.579087020034818,0.0417431409179128,0.154525692661483,0.367011487275547,0.417612163286854,0.00593853865820693,1.23555688766805,"not_FDR<0.05 to not_FDR<0.05"
"WGCNA_salmon",0.263707363254353,0.146734214013148,Inf,-0.0238864115112106,0.551301138019916,0.0735339862868668,0.271501923746866,0.169891140506247,83.0195500742599,-0.0664035449367893,0.609407392430521,0.113821544404474,0.263707363254353,0.159281117616518,47.4336807439696,0.104403040821713,253,84,0.143194461891705,0.754834414054633,FALSE,"score_z ~ diagnosis + region + age_z + sex","score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)","same fixed-effects OLS with donor-clustered CR2 SE","strict one-to-one official symbol; highest-IQR probe",-0.0566475966676053,0.58406232317631,0.251102308731236,0.390245295101055,0.417612163286854,0.00779456049251337,1.15781545325907,"not_FDR<0.05 to not_FDR<0.05"
