"dataset","module","beta","SE","df","CI_low","CI_high","P","sample_n","donor_n","formula","mapping","BH_FDR"
"GSE33000","hepatic_endothelial_vascular_activation_module",0.973726916419671,0.0955854080589563,Inf,0.786382959176552,1.16107087366279,3.99021057750671e-22,467,,"score_z ~ diagnosis + age_z + sex","strict one-to-one official symbol; highest-IQR probe",2.39412634650402e-21
"GSE33000","hepatic_secretome_hepatokine_module",0.911593748294782,0.098569250137124,Inf,0.7184015680429,1.10478592854667,8.40623968567337e-19,467,,"score_z ~ diagnosis + age_z + sex","strict one-to-one official symbol; highest-IQR probe",2.8821393208023e-18
"GSE33000","WGCNA_turquoise",-0.17697481726377,0.128528214828483,Inf,-0.428885489324824,0.0749358547972847,0.169198160108103,467,,"score_z ~ diagnosis + age_z + sex","strict one-to-one official symbol; highest-IQR probe",0.184579811027022
"GSE33000","WGCNA_red",0.8833633785917,0.0979044561798856,Inf,0.691474170553144,1.07525258663026,4.9161509418925e-18,467,,"score_z ~ diagnosis + age_z + sex","strict one-to-one official symbol; highest-IQR probe",1.47484528256775e-17
"GSE33000","WGCNA_brown",-0.089697030133061,0.131621807384087,Inf,-0.347671032185939,0.168276971919817,0.495911412672995,467,,"score_z ~ diagnosis + age_z + sex","strict one-to-one official symbol; highest-IQR probe",0.495911412672995
"GSE33000","WGCNA_yellow",0.402080005442257,0.125436616073833,Inf,0.156228755594967,0.647931255289548,0.0014417840853145,467,,"score_z ~ diagnosis + age_z + sex","strict one-to-one official symbol; highest-IQR probe",0.00182120094987095
"GSE33000","WGCNA_blue",0.477077275043832,0.122845406584148,Inf,0.236304702472721,0.717849847614942,0.00011792322089458,467,,"score_z ~ diagnosis + age_z + sex","strict one-to-one official symbol; highest-IQR probe",0.000166479841262936
"GSE33000","WGCNA_pink",0.613108926002941,0.117719055712648,Inf,0.382383816512087,0.843834035493795,2.87402718667335e-07,467,,"score_z ~ diagnosis + age_z + sex","strict one-to-one official symbol; highest-IQR probe",5.30589634462772e-07
"GSE33000","WGCNA_black",0.170134423768426,0.130551883492505,Inf,-0.0857425659907528,0.426011413527604,0.193156252089629,467,,"score_z ~ diagnosis + age_z + sex","strict one-to-one official symbol; highest-IQR probe",0.20155435000657
"GSE33000","WGCNA_green",-0.963780197462418,0.111160260161923,Inf,-1.18165030389189,-0.745910091032947,7.32002874732901e-17,467,,"score_z ~ diagnosis + age_z + sex","strict one-to-one official symbol; highest-IQR probe",1.75680689935896e-16
"GSE33000","WGCNA_purple",-0.983510981449112,0.110868329127489,Inf,-1.20080891356512,-0.766213049333101,1.58624617190764e-17,467,,"score_z ~ diagnosis + age_z + sex","strict one-to-one official symbol; highest-IQR probe",4.22998979175371e-17
"GSE33000","WGCNA_magenta",-0.786409716875443,0.111531292526206,Inf,-1.00500703337601,-0.567812400374879,6.49564369372479e-12,467,,"score_z ~ diagnosis + age_z + sex","strict one-to-one official symbol; highest-IQR probe",1.41723135135814e-11
"GSE33000","WGCNA_greenyellow",-0.701604178587206,0.112870451627214,Inf,-0.922826198695316,-0.480382158479096,1.13893645706674e-09,467,,"score_z ~ diagnosis + age_z + sex","strict one-to-one official symbol; highest-IQR probe",2.27787291413348e-09
"GSE33000","WGCNA_salmon",-0.415671237771021,0.127582888122648,Inf,-0.665729103535015,-0.165613372007027,0.00120430878007392,467,,"score_z ~ diagnosis + age_z + sex","strict one-to-one official symbol; highest-IQR probe",0.00160574504009856
"GSE33000","WGCNA_cyan",-0.574142958458005,0.125472022869936,Inf,-0.820063604350465,-0.328222312565546,6.09905024766365e-06,467,,"score_z ~ diagnosis + age_z + sex","strict one-to-one official symbol; highest-IQR probe",9.75848039626183e-06
"GSE33000","WGCNA_tan",-0.392139885292464,0.127115926017701,Inf,-0.641282522148616,-0.142997248436312,0.0021580843250952,467,,"score_z ~ diagnosis + age_z + sex","strict one-to-one official symbol; highest-IQR probe",0.00258970119011423
"GSE33000","WGCNA_lightcyan",-0.595947445977521,0.128604566523453,Inf,-0.848007764610874,-0.343887127344169,4.67052149960494e-06,467,,"score_z ~ diagnosis + age_z + sex","strict one-to-one official symbol; highest-IQR probe",8.00660828503704e-06
"GSE33000","WGCNA_midnightblue",0.51382081647899,0.121179368188156,Inf,0.276313619160885,0.751328013797096,2.69772500872347e-05,467,,"score_z ~ diagnosis + age_z + sex","strict one-to-one official symbol; highest-IQR probe",4.0465875130852e-05
