"module","original_size","common_universe_size","coverage_fraction","beta_GSE48350","SE_GSE48350","P_GSE48350","beta_GSE33000","SE_GSE33000","P_GSE33000","mean_abs_beta","empirical_P_mean_abs_beta","abs_beta_GSE48350","empirical_P_abs_beta_GSE48350","abs_beta_GSE33000","empirical_P_abs_beta_GSE33000","direction_consistent","empirical_P_direction_consistency","cross_dataset_difference","empirical_P_cross_dataset_difference","REML_effect","REML_SE","REML_P","empirical_P_abs_REML","dual_nominal_same_direction","empirical_P_dual_nominal_same_direction","model_GSE48350","model_GSE33000","B","seed","empirical_BH_FDR_mean_abs_beta","empirical_BH_FDR_abs_beta_GSE48350","empirical_BH_FDR_abs_beta_GSE33000","empirical_BH_FDR_direction_consistency","empirical_BH_FDR_cross_dataset_difference","empirical_BH_FDR_abs_REML","empirical_BH_FDR_dual_nominal_same_direction"
"WGCNA_brown",1832,1509,0.823689956331878,-0.17566173714399,0.209098637756318,0.400857758826963,-0.0523706144594644,0.131684439823775,0.691036237672004,0.114016175801727,0.968015992003998,0.17566173714399,0.91704147926037,0.0523706144594644,0.891554222888556,TRUE,0.782108945527236,0.123291122684525,0.383808095952024,-0.0873830533405636,0.111428550649793,0.432918637762991,0.847076461769115,FALSE,1,"score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)","score_z ~ diagnosis + age_z + sex",2000,20260802,0.997501249375312,0.956912847923864,1,1,0.982008995502249,1,1
"WGCNA_yellow",1245,1165,0.93574297188755,-0.427383934804907,0.194194432895552,0.0277498840314418,0.371398554025481,0.126049432784894,0.00337658100281848,0.399391244415194,0.0424787606196902,0.427383934804907,0.0154922538730635,0.371398554025481,0.186406796601699,FALSE,1,0.798782488830388,0.982008995502249,-0.0143325147052245,0.399157570034424,0.971356586513957,0.942528735632184,FALSE,1,"score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)","score_z ~ diagnosis + age_z + sex",2000,20260802,0.339830084957521,0.122938530734633,0.406705738040071,1,0.982008995502249,1,1
"WGCNA_blue",3342,2810,0.840813883901855,-0.215332495414971,0.197925475480353,0.276618353697203,0.456669972937771,0.123340017828626,0.000239181378564948,0.336001234176371,0.992003998000999,0.215332495414971,0.28335832083958,0.456669972937771,0.998500749625187,FALSE,1,0.672002468352742,0.107446276861569,0.138497344290852,0.335527897786339,0.679771870716643,0.999000499750125,FALSE,1,"score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)","score_z ~ diagnosis + age_z + sex",2000,20260802,0.997501249375312,0.885375494071146,1,1,0.859570214892554,1,1
"WGCNA_pink",825,714,0.865454545454545,0.0391160760241053,0.17070158328332,0.818753206002927,0.62143275301805,0.117349457261566,1.83704761033127e-07,0.330274414521078,0.118940529735132,0.0391160760241053,0.804597701149425,0.62143275301805,0.0634682658670665,TRUE,0.259870064967516,0.582316676993944,0.811094452773613,0.34347009998142,0.290859161728746,0.237649942536573,0.0249875062468766,FALSE,1,"score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)","score_z ~ diagnosis + age_z + sex",2000,20260802,0.570914542728636,0.956912847923864,0.391004497751124,1,0.982008995502249,0.199900049975012,1
"WGCNA_black",1012,675,0.66699604743083,0.224134969878676,0.183203839851887,0.221171663378271,0.171299495652042,0.130432788263559,0.189726880368805,0.197717232765359,0.769115442278861,0.224134969878676,0.31784107946027,0.171299495652042,0.826586706646677,TRUE,0.588205897051474,0.0528354742266345,0.0619690154922539,0.189072121721137,0.106254557958888,0.0751699490340578,0.651674162918541,FALSE,1,"score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)","score_z ~ diagnosis + age_z + sex",2000,20260802,0.922938530734633,0.885375494071146,0.991904047976012,1,0.743628185907046,0.868898883891388,1
"WGCNA_green",1041,862,0.82804995196926,-0.555869222318565,0.183892474414067,0.00250451976312846,-0.990457464958455,0.109806512706047,5.01966988546726e-18,0.77316334363851,0.000499750124937531,0.555869222318565,0.000499750124937531,0.990457464958455,0.000499750124937531,TRUE,0.530234882558721,0.43458824263989,0.792103948025987,-0.798197352590629,0.215847245884658,0.000217327740302001,0.000499750124937531,TRUE,0.0299850074962519,"score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)","score_z ~ diagnosis + age_z + sex",2000,20260802,0.0119940029985007,0.0119940029985007,0.00599700149925037,1,0.982008995502249,0.0119940029985007,0.359820089955022
"WGCNA_purple",114,91,0.798245614035088,0.153661348512914,0.13871228790187,0.267961043084888,-0.995224860467728,0.109165977470271,2.36484974765189e-18,0.574443104490321,0.0729635182408796,0.153661348512914,0.405797101449275,0.995224860467728,0.0684657671164418,FALSE,1,1.14888620898064,0.943528235882059,-0.423969142213173,0.574434261569992,0.46047567156422,0.218390804597701,FALSE,1,"score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)","score_z ~ diagnosis + age_z + sex",2000,20260802,0.437781109445277,0.885375494071146,0.391004497751124,1,0.982008995502249,0.474762618690655,1
"WGCNA_magenta",151,50,0.33112582781457,0.0312658990680904,0.162524415584489,0.847447198472145,-0.72713214386607,0.114326810240564,4.84404175814084e-10,0.37919902146708,0.56471764117941,0.0312658990680904,0.907046476761619,0.72713214386607,0.323338330834583,FALSE,1,0.75839804293416,0.473263368315842,-0.356730327406055,0.37909696261729,0.346704743490636,0.209395302348826,FALSE,1,"score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)","score_z ~ diagnosis + age_z + sex",2000,20260802,0.713327546752939,0.956912847923864,0.456477643531176,1,0.982008995502249,0.474762618690655,1
"WGCNA_greenyellow",68,56,0.823529411764706,-0.236388879632154,0.155799845141612,0.129201042325316,-0.616617030078266,0.118197212054875,2.75071820162135e-07,0.42650295485521,0.398300849575212,0.236388879632154,0.196901549225387,0.616617030078266,0.536731634182909,TRUE,0.36231884057971,0.380228150446112,0.170914542728636,-0.440051413585207,0.189630695996084,0.0203100317236074,0.178410794602699,FALSE,1,"score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)","score_z ~ diagnosis + age_z + sex",2000,20260802,0.68280145641465,0.787606196901549,0.715642178910545,1,0.982008995502249,0.474762618690655,1
"WGCNA_salmon",45,10,0.222222222222222,0.255972764937645,0.166573332340634,0.124367489568275,-0.691797403831778,0.121138717798928,2.01308696746344e-08,0.473885084384712,0.196901549225387,0.255972764937645,0.372313843078461,0.691797403831778,0.232383808095952,FALSE,1,0.947770168769423,0.881059470264868,-0.224808551533622,0.473834902877905,0.635182683518483,0.486756621689155,FALSE,1,"score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)","score_z ~ diagnosis + age_z + sex",2000,20260802,0.583344691290718,0.885375494071146,0.446026986506747,1,0.982008995502249,0.687185818855278,1
"WGCNA_cyan",43,8,0.186046511627907,0.273926330438928,0.151256768639885,0.0701405216944125,-0.339035614118351,0.128184603384028,0.00844921580542561,0.306480972278639,0.540229885057471,0.273926330438928,0.338830584707646,0.339035614118351,0.577711144427786,FALSE,1,0.612961944557278,0.623188405797101,-0.0378137917526115,0.306435845995624,0.901791369083381,0.913543228385807,FALSE,1,"score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)","score_z ~ diagnosis + age_z + sex",2000,20260802,0.713327546752939,0.885375494071146,0.729740392961414,1,0.982008995502249,1,1
"WGCNA_tan",48,11,0.229166666666667,0.0345746814410076,0.156246705086255,0.824872375954928,-0.615415210981569,0.121983235893897,6.52275183401768e-07,0.324994946211288,0.505747126436782,0.0345746814410076,0.903548225887057,0.615415210981569,0.297351324337831,FALSE,1,0.649989892422576,0.638680659670165,-0.297753550350795,0.324912200425704,0.35945066472582,0.333833083458271,FALSE,1,"score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)","score_z ~ diagnosis + age_z + sex",2000,20260802,0.713327546752939,0.956912847923864,0.446026986506747,1,0.982008995502249,0.616307230999885,1
"WGCNA_lightcyan",35,5,0.142857142857143,-0.100899677654739,0.198268566246981,0.610819476416107,-0.65637061179427,0.127361896607112,3.79106308909495e-07,0.378635144724504,0.357821089455272,0.100899677654739,0.715142428785607,0.65637061179427,0.247376311844078,TRUE,0.51624187906047,0.555470934139532,0.611194402798601,-0.399418744941175,0.276956732415904,0.149254366369759,0.1944027986007,FALSE,1,"score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)","score_z ~ diagnosis + age_z + sex",2000,20260802,0.660592780532811,0.956912847923864,0.446026986506747,1,0.982008995502249,0.474762618690655,1
"WGCNA_midnightblue",40,3,0.075,-0.0746863224840815,0.197494529402804,0.705305000964027,0.555073317737638,0.12326249417414,8.48315245185985e-06,0.31487982011086,0.493753123438281,0.0746863224840815,0.825087456271864,0.555073317737638,0.296351824087956,FALSE,1,0.629759640221719,0.718140929535232,0.259097889995923,0.314311827747861,0.409749870268171,0.427786106946527,FALSE,1,"score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)","score_z ~ diagnosis + age_z + sex",2000,20260802,0.713327546752939,0.956912847923864,0.446026986506747,1,0.982008995502249,0.684457771114443,1
