"dataset_id","module","beta_processed_main","SE_processed_main","P_processed_main","sample_n_processed_main","formula_processed_main","BH_FDR_processed_main","beta_additional_quantile","SE_additional_quantile","P_additional_quantile","sample_n_additional_quantile","formula_additional_quantile","BH_FDR_additional_quantile","score_correlation","FDR_status_change"
"AD_GSE5281","WGCNA_brown",-0.336677134555612,0.159261205501527,0.036116405427794,161,"descriptive score_z ~ diagnosis + region",0.0666764407897736,-0.336677134555612,0.159261205501527,0.036116405427794,161,"descriptive score_z ~ diagnosis + region",0.0666764407897736,1,FALSE
"AD_GSE5281","WGCNA_cyan",-0.271197730433741,0.149536740378261,0.0716758391518186,161,"descriptive score_z ~ diagnosis + region",0.11468134264291,-0.271197730433741,0.149536740378261,0.0716758391518186,161,"descriptive score_z ~ diagnosis + region",0.11468134264291,1,FALSE
"AD_GSE5281","WGCNA_green",-1.03238804237265,0.139448515065933,7.92986782572464e-12,161,"descriptive score_z ~ diagnosis + region",6.34389426057971e-11,-1.03238804237265,0.139448515065933,7.92986782572464e-12,161,"descriptive score_z ~ diagnosis + region",6.34389426057971e-11,1,FALSE
"AD_GSE5281","WGCNA_greenyellow",-0.475686657531148,0.140475720703729,0.000897950764564219,161,"descriptive score_z ~ diagnosis + region",0.00215508183495413,-0.475686657531148,0.140475720703729,0.000897950764564219,161,"descriptive score_z ~ diagnosis + region",0.00215508183495413,1,FALSE
"AD_GSE5281","WGCNA_lightcyan",0.142173179140066,0.155838291091882,0.363021150820378,161,"descriptive score_z ~ diagnosis + region",0.414881315223289,0.142173179140066,0.155838291091882,0.363021150820378,161,"descriptive score_z ~ diagnosis + region",0.414881315223289,1,FALSE
"AD_GSE5281","WGCNA_magenta",-0.241480523699097,0.15634301045046,0.124492951700359,161,"descriptive score_z ~ diagnosis + region",0.160546736522267,-0.241480523699097,0.15634301045046,0.124492951700359,161,"descriptive score_z ~ diagnosis + region",0.160546736522267,1,FALSE
"AD_GSE5281","WGCNA_midnightblue",0.25163203860582,0.153412314864461,0.10298444697782,161,"descriptive score_z ~ diagnosis + region",0.1453898074981,0.25163203860582,0.153412314864461,0.10298444697782,161,"descriptive score_z ~ diagnosis + region",0.1453898074981,1,FALSE
"AD_GSE5281","WGCNA_pink",0.624167362411724,0.141813293510229,1.99375725103066e-05,161,"descriptive score_z ~ diagnosis + region",5.31668600274843e-05,0.624167362411724,0.141813293510229,1.99375725103066e-05,161,"descriptive score_z ~ diagnosis + region",5.31668600274843e-05,1,FALSE
"AD_GSE5281","WGCNA_purple",-0.0979667751635984,0.156445053577306,0.532101157460506,161,"descriptive score_z ~ diagnosis + region",0.580473989956915,-0.0979667751635984,0.156445053577306,0.532101157460506,161,"descriptive score_z ~ diagnosis + region",0.580473989956915,1,FALSE
"AD_GSE5281","WGCNA_red",0.923316799557848,0.132153895648672,7.81915386310396e-11,161,"descriptive score_z ~ diagnosis + region",4.69149231786238e-10,0.923316799557848,0.132153895648672,7.81915386310396e-11,161,"descriptive score_z ~ diagnosis + region",4.69149231786238e-10,1,FALSE
"AD_GSE5281","WGCNA_salmon",-0.355647476105573,0.150005643800121,0.0189743176856272,161,"descriptive score_z ~ diagnosis + region",0.0379486353712544,-0.355647476105573,0.150005643800121,0.0189743176856272,161,"descriptive score_z ~ diagnosis + region",0.0379486353712544,1,FALSE
"AD_GSE5281","WGCNA_tan",-0.0230180885728733,0.159013910793253,0.885092217172107,161,"descriptive score_z ~ diagnosis + region",0.885092217172107,-0.0230180885728733,0.159013910793253,0.885092217172107,161,"descriptive score_z ~ diagnosis + region",0.885092217172107,1,FALSE
