"dataset_id","module","comparison_mapping","beta_legacy","SE_legacy","P_legacy","BH_FDR_legacy","beta_comparator","SE_comparator","P_comparator","BH_FDR_comparator","sample_n","formula","module_score_correlation","FDR_status_change"
"AD_GSE48350","hepatic_complement_coagulation_module","strict_max_iqr",-0.0503473124994388,0.178833194883368,0.779000681761777,0.89028649344203,-0.0154607742986253,0.181377765294497,0.932275565611004,0.957468445693146,253,"score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)",0.992543742974104,FALSE
"AD_GSE48350","hepatic_ECM_fibrosis_module","strict_max_iqr",0.128164991156824,0.17242499114352,0.459512048215333,0.733279517271373,0.0925254444316413,0.176043828186959,0.60065985415456,0.77133064313546,253,"score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)",0.994333281124292,FALSE
"AD_GSE48350","hepatic_endothelial_vascular_activation_module","strict_max_iqr",-0.0456282905449032,0.200756535742169,0.820766526335212,0.894489741899361,-0.0445849541061255,0.199326679402879,0.823562726719654,0.938547172551034,253,"score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)",0.994603454243972,FALSE
"AD_GSE48350","hepatic_inflammatory_module","strict_max_iqr",0.14998322997667,0.184097832567881,0.41754801041957,0.715796589290692,0.122631410360638,0.185303784542882,0.509919910513168,0.719886932489178,253,"score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)",0.99692220377644,FALSE
"AD_GSE48350","hepatic_lipid_dysregulation_module","strict_max_iqr",-0.414192686068986,0.204567824063787,0.0460589298655126,0.221082863354461,-0.34778414165745,0.198732195938848,0.08372382115432,0.367011487275547,253,"score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)",0.983890324914514,FALSE
"AD_GSE48350","hepatic_mitochondrial_dysfunction_module","strict_max_iqr",-0.474359965809538,0.192881736268035,0.0161175231686821,0.193410278024186,-0.487757498961012,0.201187366044611,0.0175940039391279,0.105564023634767,253,"score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)",0.985082674731491,FALSE
"AD_GSE48350","hepatic_secretome_hepatokine_module","strict_max_iqr",0.139238302865041,0.156767578347158,0.377103381904329,0.696190858900299,0.11217285397541,0.163053978318104,0.493478684461714,0.719886932489178,253,"score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)",0.988565552293745,FALSE
"AD_GSE48350","WGCNA_black","strict_max_iqr",0.160576675738867,0.174556610706896,0.360341293643788,0.696190858900299,0.189808596344003,0.17627961160394,0.284787037296778,0.569574074593556,253,"score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)",0.995087521589362,FALSE
"AD_GSE48350","WGCNA_blue","strict_max_iqr",-0.306098686344042,0.187912266040613,0.107396987705253,0.368218243560867,-0.277615138668159,0.192901151310483,0.154106762044117,0.462320286132351,253,"score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)",0.994722685000553,FALSE
"AD_GSE48350","WGCNA_brown","strict_max_iqr",-0.280449137074918,0.194499679709534,0.153594115323998,0.40958430753066,-0.285454235060305,0.211692634660863,0.18163843923937,0.484369171304985,253,"score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)",0.963461977602831,FALSE
"AD_GSE48350","WGCNA_cyan","strict_max_iqr",0.334411802728428,0.15710985479216,0.036822237327807,0.220933423966842,0.457316851727937,0.155750177638625,0.00452902946108117,0.0543483535329741,253,"score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)",0.965880512218613,FALSE
"AD_GSE48350","WGCNA_green","strict_max_iqr",-0.560634828710688,0.186463578287637,0.00355294673926359,0.0852707217423261,-0.564116713783556,0.187929052380717,0.0036160028003922,0.0543483535329741,253,"score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)",0.997105647538637,FALSE
"AD_GSE48350","WGCNA_greenyellow","strict_max_iqr",-0.294206336584676,0.156511129435898,0.0635735628868251,0.2542942515473,-0.262733400900246,0.15409588266779,0.0917528718188867,0.367011487275547,253,"score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)",0.957637758606844,FALSE
"AD_GSE48350","WGCNA_lightcyan","strict_max_iqr",0.134087188312235,0.192845602892853,0.488853011514249,0.733279517271373,0.178978729071901,0.202109778702591,0.378509557132373,0.698786874705919,253,"score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)",0.969831223568513,FALSE
"AD_GSE48350","WGCNA_magenta","strict_max_iqr",0.0664591637642352,0.136630285079029,0.628081390390382,0.793365966808903,0.0529797279818524,0.151487097912948,0.72748595475379,0.872983145704548,253,"score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)",0.971990969829874,FALSE
"AD_GSE48350","WGCNA_midnightblue","strict_max_iqr",0.232868101908961,0.159870588151393,0.149597854945661,0.40958430753066,0.216864668262647,0.176785086425657,0.22390234062139,0.516051169240537,253,"score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)",0.794408007505106,FALSE
"AD_GSE48350","WGCNA_pink","strict_max_iqr",-0.0207674792242062,0.157095761708817,0.895207081753303,0.895207081753303,-0.00885555512673853,0.165461484683714,0.957468445693146,0.957468445693146,253,"score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)",0.978466405029967,FALSE
"AD_GSE48350","WGCNA_purple","strict_max_iqr",0.0510617100628037,0.126225086577126,0.687192662580278,0.824631195096334,0.16514581500278,0.13808454511001,0.236523452568579,0.516051169240537,253,"score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)",0.981596494937113,FALSE
"AD_GSE48350","WGCNA_red","strict_max_iqr",0.101877430073035,0.173687859969378,0.559074343406939,0.789281425986267,0.0892542895642865,0.174634319583917,0.610636759148906,0.77133064313546,253,"score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)",0.99612876433481,FALSE
"AD_GSE48350","WGCNA_salmon","strict_max_iqr",0.225919296447072,0.166231980945446,0.177733552449733,0.426560525879359,0.271501923746866,0.169891140506247,0.113821544404474,0.390245295101055,253,"score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)",0.985931268128794,FALSE
"AD_GSE48350","WGCNA_tan","strict_max_iqr",0.0843631948811414,0.156925595718322,0.592505878376544,0.790007837835392,0.125099578482212,0.153895120403259,0.419027429650961,0.716290405135817,253,"score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)",0.995287484678902,FALSE
"AD_GSE48350","WGCNA_turquoise","strict_max_iqr",0.24276552134515,0.193387713676589,0.21327337536131,0.46532372806104,0.158370542389247,0.207513997997909,0.447681503209886,0.716290405135817,253,"score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)",0.970572572900189,FALSE
"AD_GSE48350","WGCNA_yellow","strict_max_iqr",-0.430388786994365,0.190502290613643,0.0269833002192931,0.215866401754345,-0.475376427284004,0.189477071374994,0.0144861993657929,0.105564023634767,253,"score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)",0.991385858930032,FALSE
