"module","gene"
"hepatic_inflammatory_module","PTGER2"
"hepatic_inflammatory_module","PTGIR"
"hepatic_inflammatory_module","PVR"
"hepatic_inflammatory_module","RAF1"
"hepatic_inflammatory_module","RASGRP1"
"hepatic_inflammatory_module","RGS1"
"hepatic_inflammatory_module","RGS16"
"hepatic_inflammatory_module","RHOG"
"hepatic_inflammatory_module","RNF144B"
"hepatic_inflammatory_module","ROS1"
"hepatic_inflammatory_module","RTP4"
"hepatic_inflammatory_module","SCARF1"
"hepatic_inflammatory_module","SCN1B"
"hepatic_inflammatory_module","SELENOS"
"hepatic_inflammatory_module","SELL"
"hepatic_inflammatory_module","SEMA4D"
"hepatic_inflammatory_module","SGMS2"
"hepatic_inflammatory_module","SLAMF1"
"hepatic_inflammatory_module","SLC11A2"
"hepatic_inflammatory_module","SLC1A2"
"hepatic_inflammatory_module","SLC28A2"
"hepatic_inflammatory_module","SLC31A1"
"hepatic_inflammatory_module","SLC31A2"
"hepatic_inflammatory_module","SLC4A4"
"hepatic_inflammatory_module","SLC7A1"
"hepatic_inflammatory_module","SLC7A2"
"hepatic_inflammatory_module","SRI"
"hepatic_inflammatory_module","STAB1"
"hepatic_inflammatory_module","TACR1"
"hepatic_inflammatory_module","TACR3"
"hepatic_inflammatory_module","TAPBP"
"hepatic_inflammatory_module","TIMP1"
"hepatic_inflammatory_module","TLR3"
"hepatic_inflammatory_module","TNFSF10"
"hepatic_inflammatory_module","TNFSF15"
"hepatic_inflammatory_module","TPBG"
"hepatic_inflammatory_module","VIP"
"hepatic_inflammatory_module","ACVRL1"
"hepatic_inflammatory_module","BAK1"
"hepatic_inflammatory_module","CBL"
"hepatic_inflammatory_module","CCR1"
"hepatic_inflammatory_module","CD36"
"hepatic_inflammatory_module","CD38"
"hepatic_inflammatory_module","CD9"
"hepatic_inflammatory_module","CNTFR"
"hepatic_inflammatory_module","CRLF2"
"hepatic_inflammatory_module","CSF2RA"
"hepatic_inflammatory_module","CSF2RB"
"hepatic_inflammatory_module","CXCL13"
"hepatic_inflammatory_module","DNTT"
"hepatic_inflammatory_module","GRB2"
"hepatic_inflammatory_module","HAX1"
"hepatic_inflammatory_module","IFNGR1"
"hepatic_inflammatory_module","IL10RB"
"hepatic_inflammatory_module","IL12RB1"
"hepatic_inflammatory_module","IL13RA1"
"hepatic_inflammatory_module","IL17RA"
"hepatic_inflammatory_module","IL17RB"
"hepatic_inflammatory_module","IL1R2"
"hepatic_inflammatory_module","IL2RA"
"hepatic_inflammatory_module","IL2RG"
"hepatic_inflammatory_module","IL3RA"
"hepatic_inflammatory_module","IL7"
"hepatic_inflammatory_module","IL9R"
"hepatic_inflammatory_module","INHBE"
"hepatic_inflammatory_module","IRF9"
"hepatic_inflammatory_module","ITGA4"
"hepatic_inflammatory_module","LEPR"
"hepatic_inflammatory_module","LTB"
"hepatic_inflammatory_module","LTBR"
"hepatic_inflammatory_module","PDGFC"
"hepatic_inflammatory_module","PF4"
"hepatic_inflammatory_module","PIM1"
"hepatic_inflammatory_module","PLA2G2A"
"hepatic_inflammatory_module","PTPN1"
"hepatic_inflammatory_module","PTPN11"
"hepatic_inflammatory_module","PTPN2"
"hepatic_inflammatory_module","REG1A"
"hepatic_inflammatory_module","STAM2"
"hepatic_inflammatory_module","STAT2"
"hepatic_inflammatory_module","TGFB1"
"hepatic_inflammatory_module","TNFRSF12A"
"hepatic_inflammatory_module","TNFRSF21"
"hepatic_complement_coagulation_module","C1QA"
"hepatic_complement_coagulation_module","C1QB"
"hepatic_complement_coagulation_module","C1QC"
"hepatic_complement_coagulation_module","C1R"
"hepatic_complement_coagulation_module","C1S"
"hepatic_complement_coagulation_module","C2"
"hepatic_complement_coagulation_module","C3"
"hepatic_complement_coagulation_module","C4A"
"hepatic_complement_coagulation_module","C4B"
"hepatic_complement_coagulation_module","C4BPA"
"hepatic_complement_coagulation_module","C4BPB"
"hepatic_complement_coagulation_module","C5"
"hepatic_complement_coagulation_module","C6"
"hepatic_complement_coagulation_module","C7"
"hepatic_complement_coagulation_module","C8A"
"hepatic_complement_coagulation_module","C8B"
"hepatic_complement_coagulation_module","C8G"
"hepatic_complement_coagulation_module","C9"
"hepatic_complement_coagulation_module","MBL2"
"hepatic_complement_coagulation_module","MASP1"
"hepatic_complement_coagulation_module","MASP2"
"hepatic_complement_coagulation_module","SERPING1"
"hepatic_complement_coagulation_module","CFB"
"hepatic_complement_coagulation_module","CFD"
"hepatic_complement_coagulation_module","CFH"
"hepatic_complement_coagulation_module","CFHR1"
"hepatic_complement_coagulation_module","CFHR2"
"hepatic_complement_coagulation_module","CFHR3"
"hepatic_complement_coagulation_module","CFHR4"
"hepatic_complement_coagulation_module","CFHR5"
"hepatic_complement_coagulation_module","CFI"
"hepatic_complement_coagulation_module","CFP"
"hepatic_complement_coagulation_module","CD46"
"hepatic_complement_coagulation_module","CD55"
"hepatic_complement_coagulation_module","CD59"
"hepatic_complement_coagulation_module","C3AR1"
"hepatic_complement_coagulation_module","C5AR1"
"hepatic_complement_coagulation_module","C5AR2"
"hepatic_complement_coagulation_module","FCN1"
"hepatic_complement_coagulation_module","FCN2"
"hepatic_complement_coagulation_module","FCN3"
"hepatic_complement_coagulation_module","CLEC4M"
"hepatic_complement_coagulation_module","F2"
"hepatic_complement_coagulation_module","F3"
"hepatic_complement_coagulation_module","F5"
"hepatic_complement_coagulation_module","F7"
"hepatic_complement_coagulation_module","F8"
"hepatic_complement_coagulation_module","F9"
"hepatic_complement_coagulation_module","F10"
"hepatic_complement_coagulation_module","F11"
"hepatic_complement_coagulation_module","F12"
"hepatic_complement_coagulation_module","F13A1"
"hepatic_complement_coagulation_module","F13B"
"hepatic_complement_coagulation_module","SERPINC1"
"hepatic_complement_coagulation_module","PROC"
"hepatic_complement_coagulation_module","PROS1"
"hepatic_complement_coagulation_module","PROZ"
"hepatic_complement_coagulation_module","THBD"
"hepatic_complement_coagulation_module","THBS1"
"hepatic_complement_coagulation_module","FGB"
"hepatic_complement_coagulation_module","FGA"
"hepatic_complement_coagulation_module","FGG"
