"relative_path","baseline_sha256","final_sha256","baseline_size_bytes","final_size_bytes","hash_status","error"
"01_raw_data\cognitive_impairment_AD\supplementary\GSE5281\GSE5281_RAW\GSM238793.CEL.gz","f6d7d965cd65bdfb7c884cc5c1ea8a3c2915219b537ef6596b2fabe135c0496d","f6d7d965cd65bdfb7c884cc5c1ea8a3c2915219b537ef6596b2fabe135c0496d","4470220","4470220","unchanged",""
"01_raw_data\cognitive_impairment_AD\supplementary\GSE5281\GSE5281_RAW\GSM238793.CHP.gz","1313da9ccfd515f85b4dc346ffded628cea275ea698b1e7ec567b3cfad139a7f","1313da9ccfd515f85b4dc346ffded628cea275ea698b1e7ec567b3cfad139a7f","306785","306785","unchanged",""
"01_raw_data\cognitive_impairment_AD\supplementary\GSE5281\GSE5281_RAW\GSM238794.CEL.gz","baec28f8e6e392e96b8d1ca0fc84fc66cdbb30a7ac71b88b654a6ea90b9671f3","baec28f8e6e392e96b8d1ca0fc84fc66cdbb30a7ac71b88b654a6ea90b9671f3","4927983","4927983","unchanged",""
"01_raw_data\cognitive_impairment_AD\supplementary\GSE5281\GSE5281_RAW\GSM238794.CHP.gz","8183354e0315aed9ca7792016ab3d20060b6daba0efa6e82682c626b14a77984","8183354e0315aed9ca7792016ab3d20060b6daba0efa6e82682c626b14a77984","302621","302621","unchanged",""
"01_raw_data\cognitive_impairment_AD\supplementary\GSE5281\GSE5281_RAW\GSM238795.CEL.gz","3e5cdb49d6eade84607a3cadc0af9b2c30a65bdd6110e3843a03ae0dddd893d8","3e5cdb49d6eade84607a3cadc0af9b2c30a65bdd6110e3843a03ae0dddd893d8","4878698","4878698","unchanged",""
"01_raw_data\cognitive_impairment_AD\supplementary\GSE5281\GSE5281_RAW\GSM238795.CHP.gz","13c82d5f19a82a7e3dabf33887f1ca88e7dad82408e23d2dce1a5ab2231ae4a0","13c82d5f19a82a7e3dabf33887f1ca88e7dad82408e23d2dce1a5ab2231ae4a0","304551","304551","unchanged",""
"01_raw_data\cognitive_impairment_AD\supplementary\GSE5281\GSE5281_RAW\GSM238796.CEL.gz","c1a3db7d836771dc7b21d765f2803c6bcdf16c71e0a009b838e1861222cabfcf","c1a3db7d836771dc7b21d765f2803c6bcdf16c71e0a009b838e1861222cabfcf","5032356","5032356","unchanged",""
"01_raw_data\cognitive_impairment_AD\supplementary\GSE5281\GSE5281_RAW\GSM238796.CHP.gz","e0cf04e8ab9367ecfd88ebd691d025ff73121b552dd0f965e1ac483f262a861b","e0cf04e8ab9367ecfd88ebd691d025ff73121b552dd0f965e1ac483f262a861b","302629","302629","unchanged",""
"01_raw_data\cognitive_impairment_AD\supplementary\GSE5281\GSE5281_RAW\GSM238797.CEL.gz","7f90f8a54c125a13ffec72e59cd620cbf3c22cc9bc0b6f960b6c0ec32068e232","7f90f8a54c125a13ffec72e59cd620cbf3c22cc9bc0b6f960b6c0ec32068e232","4625694","4625694","unchanged",""
"01_raw_data\cognitive_impairment_AD\supplementary\GSE5281\GSE5281_RAW\GSM238797.CHP.gz","2034efd9ea11fd07bc418275ffe1acc12445826403691287153eae27cb5e4fac","2034efd9ea11fd07bc418275ffe1acc12445826403691287153eae27cb5e4fac","305065","305065","unchanged",""
"01_raw_data\cognitive_impairment_AD\supplementary\GSE5281\GSE5281_RAW\GSM238798.CEL.gz","225fe3fdc673c3d1ac251da8aae01ac8186152b176294ed142225ebe0c3e4676","225fe3fdc673c3d1ac251da8aae01ac8186152b176294ed142225ebe0c3e4676","4986520","4986520","unchanged",""
"01_raw_data\cognitive_impairment_AD\supplementary\GSE5281\GSE5281_RAW\GSM238798.CHP.gz","689cfab76c99692c59540e0f6ea6d58fd9371ebb8ec051c6b4dec0539da5fe2b","689cfab76c99692c59540e0f6ea6d58fd9371ebb8ec051c6b4dec0539da5fe2b","303681","303681","unchanged",""
"01_raw_data\cognitive_impairment_AD\supplementary\GSE5281\GSE5281_RAW\GSM238799.CEL.gz","99ff589264a950b699c50925818c9f51ff168cfd68cb2ca6cb33525ec380677f","99ff589264a950b699c50925818c9f51ff168cfd68cb2ca6cb33525ec380677f","4867202","4867202","unchanged",""
"01_raw_data\cognitive_impairment_AD\supplementary\GSE5281\GSE5281_RAW\GSM238799.CHP.gz","fa6f2a75069b465d27e3a4692e8e55cda7761a8bba453918f0120e7b58972cfb","fa6f2a75069b465d27e3a4692e8e55cda7761a8bba453918f0120e7b58972cfb","306340","306340","unchanged",""
"01_raw_data\cognitive_impairment_AD\supplementary\GSE5281\GSE5281_RAW\GSM238800.CEL.gz","9ea4da32a3b7e1b26a70e42fa8dc48877b02dc1861bb86f69df8087a0ca95407","9ea4da32a3b7e1b26a70e42fa8dc48877b02dc1861bb86f69df8087a0ca95407","4222194","4222194","unchanged",""
"01_raw_data\cognitive_impairment_AD\supplementary\GSE5281\GSE5281_RAW\GSM238800.CHP.gz","1173136bcb9d0d2ec49b05645d34a1ddb8a709635a0f5943f224698671cf8a6d","1173136bcb9d0d2ec49b05645d34a1ddb8a709635a0f5943f224698671cf8a6d","313118","313118","unchanged",""
"01_raw_data\cognitive_impairment_AD\supplementary\GSE5281\GSE5281_RAW\GSM238801.CEL.gz","65cd8634bc03d88dfd38fb270fdf9e33480b8bd8828d25fd63007ff3c1ad11fa","65cd8634bc03d88dfd38fb270fdf9e33480b8bd8828d25fd63007ff3c1ad11fa","4354650","4354650","unchanged",""
"01_raw_data\cognitive_impairment_AD\supplementary\GSE5281\GSE5281_RAW\GSM238801.CHP.gz","0b0b95944e9f9c0083f4cbdeebaed67dc8518746dfa8ec8a6e0d09d9062c1e56","0b0b95944e9f9c0083f4cbdeebaed67dc8518746dfa8ec8a6e0d09d9062c1e56","311802","311802","unchanged",""
"01_raw_data\cognitive_impairment_AD\supplementary\GSE5281\GSE5281_RAW\GSM238802.CEL.gz","acfe8210ef5e3c395adbdb85321cdc1574b7a12a601b475526e37c7803df14dc","acfe8210ef5e3c395adbdb85321cdc1574b7a12a601b475526e37c7803df14dc","4332208","4332208","unchanged",""
"01_raw_data\cognitive_impairment_AD\supplementary\GSE5281\GSE5281_RAW\GSM238802.CHP.gz","925c123a66d987063753b1bda78aa7ea8ad57a7f664b91e654db078ba4898e56","925c123a66d987063753b1bda78aa7ea8ad57a7f664b91e654db078ba4898e56","312414","312414","unchanged",""
"01_raw_data\cognitive_impairment_AD\supplementary\GSE5281\GSE5281_RAW\GSM238803.CEL.gz","c94eb30e016b835bb50c53a07fbcedb9084733184f0e79ca694b461bcf3869b6","c94eb30e016b835bb50c53a07fbcedb9084733184f0e79ca694b461bcf3869b6","4292624","4292624","unchanged",""
